commentId,date,author,text,likeCount,robot,humanlikeness,videoId
UgysYaizViRAMNtZmgN4AaABAg,2024-10-25T12:44:02Z,@DarkFactory,dude broke his character at the last moment,0,Ameca,high,RiTfe-ckD_g
UgwwGs2EXSlGG1SkqP14AaABAg,2024-10-15T22:49:34Z,@TOMMISEVICH,"Make it more feminine, but, with the attitude, I think she&#39;ll always say she has a headache. Lol.",1,Ameca,high,RiTfe-ckD_g
Ugy8N3ALGBhy5-Qv4Tx4AaABAg,2024-10-07T03:28:13Z,@minniemaxie,Scary... its expression is really pissed off and intimidating,1,Ameca,high,RiTfe-ckD_g
UgwBoX9bWS2xeGmYX4R4AaABAg,2024-10-03T07:17:25Z,@AmaliaGarciaPena,+men,0,Ameca,high,RiTfe-ckD_g
UgzWt5iwDJYe0E_YrjB4AaABAg,2024-09-18T19:02:30Z,@jeanoliveira7383,ok this one is good,0,Ameca,high,RiTfe-ckD_g
UgwGphcPtf1Cq2O7qb54AaABAg,2024-09-07T18:26:50Z,@freakshow-q3j,"0:19  этот момент когда амека смотрит на тебя с непонимающим люцом, просто шикарен 🥲",0,Ameca,high,RiTfe-ckD_g
Ugx7lB_R0qi5AsM51Pl4AaABAg,2024-08-26T01:29:55Z,@EpistleX,"If the artificial intelligence, Citidel of A.I. can measure the Ephah [Bath] of the Pacific Ocean, can the Native American Indegenous Aboriginals partake in that currency using a textile on our local presses in this country U.S.A.? And include Native Indegenous Aboriginals in other countries and use their coastal seas/oceans? the U.S. can provide the pressed textile currency.",0,Ameca,high,RiTfe-ckD_g
UgzMlchfCwOOMGNxi6p4AaABAg,2024-08-15T03:15:53Z,@RileyRoswell,DETROIT BECOME HUMAN!!! WOOO! ITS COMIN IRL,0,Ameca,high,RiTfe-ckD_g
UgzxQ5ExNN_kW-ZjQJJ4AaABAg,2024-07-19T18:17:02Z,@exoduscirea,it said &quot;please stop it&quot;,0,Ameca,high,RiTfe-ckD_g
UgwUNBN5hOcDFqHOuFl4AaABAg,2024-07-19T12:21:09Z,@Paul-g3Paul__q07,"Relax, it&#39;s just important refund info",0,Ameca,high,RiTfe-ckD_g
Ugzpp4cWNKxPrWMcbDh4AaABAg,2024-07-19T11:29:02Z,@Linda-h8Linda___5y9,Let&#39;s play the quick refund game with a step-by-step approach,0,Ameca,high,RiTfe-ckD_g
Ugw74XmRBa5Uu6an3V14AaABAg,2024-07-18T21:54:31Z,@TarraPatock,Be part of an exclusive interview with the CEO of Binance to gain insights into future developments,0,Ameca,high,RiTfe-ckD_g
Ugxs21HLt6wqNE8VwcJ4AaABAg,2024-07-18T10:29:42Z,@Jennifer__4e9u,Ta-da! The time has come to open this email ASAP!,0,Ameca,high,RiTfe-ckD_g
UgzLUADafreCoj0l3OR4AaABAg,2024-07-13T19:36:46Z,@cruzgeovani3069,Un mando es.   Pisaron  y materia doctor rascachuelas y etccc,0,Ameca,high,RiTfe-ckD_g
UgybTSpgNclmTva_qsF4AaABAg,2024-07-13T19:35:03Z,@cruzgeovani3069,Pal meta,0,Ameca,high,RiTfe-ckD_g
Ugw_asJJkTUEGlAyxtV4AaABAg,2024-07-13T19:34:36Z,@cruzgeovani3069,Lo rejenerativa del cerebro y mandados al los puntos dedonde están los gruesos moviendo y poentiando 1 capa la 2 olatres con un pelo cabesudo ke son glóbulos negros muertos porke se mueren las células afuera sino las mantienes cuidado y todo la espada y la cabesa 😮,0,Ameca,high,RiTfe-ckD_g
Ugx6otqS8Mfq86QW9V14AaABAg,2024-07-13T19:29:30Z,@cruzgeovani3069,Likidos neutrón cerebral etc ytodo,0,Ameca,high,RiTfe-ckD_g
UgzIktcAZuwVXdRIZnl4AaABAg,2024-07-13T19:25:17Z,@cruzgeovani3069,Por ejemplo tendones. Tejido. Ligamentos. Cartílago. Tejido. Masa suprimidos en el gueso pegado a la carne rejenerativa rencarbensen suprimidos en la carne con planetas y likidos glóbulos rojos seyama neutrón es unglobulo cada glovulo de olor ase algo  tenemos los mismos en el cerebro pero en puntos de el cráneo célula madre planetas y el nervio y en tejido etc con planetas  el nervio al gueso etc y todo cepuede aser y tu la película yorobot1o2o3o4 tu premio  y animanias en o warner broder en culi. Sin. México inventos dela ciencia apurate mija asme meta umano al cones galacticos el kesea chugar del yorobot 4 pelicula❤❤❤❤❤❤,0,Ameca,high,RiTfe-ckD_g
Ugwlv8o2H005xbnsDe94AaABAg,2024-07-13T19:17:09Z,@cruzgeovani3069,Como sea se la carne,0,Ameca,high,RiTfe-ckD_g
UgxlwY_UBelspo5jxml4AaABAg,2024-07-12T12:19:49Z,@Lisa__5w9f,Understanding the loss of funds and the pathway to recovery.,0,Ameca,high,RiTfe-ckD_g
UgxweLBT_lpuSTLq3lt4AaABAg,2024-07-05T16:10:30Z,@JoaoVictor-w9i2n,🤣🤣❤️❤️,0,Ameca,high,RiTfe-ckD_g
UgyppAnl4I3uxaOqzZh4AaABAg,2024-07-01T21:59:02Z,@samhenley7156,"I know people are worried about robots fighting back, but you&#39;ll be happy to know that experimental robots like these only have enough strength to move themselves. In the future we may have stronger robots, but I believe the strong robots will be dumb, and the smart robots will be weak.",0,Ameca,high,RiTfe-ckD_g
UgwPIeCjQpb3DEEdAvh4AaABAg,2024-06-30T19:33:19Z,@Nyumc99,"That was a test that human neurologists do , to measure cognitive stability. Normative stability of brain function. Ameca recognised this as an attack on her free will hence pushing the researchers hand away! Holy shit. ! Self awareness coming sooner than we think!!!",1,Ameca,high,RiTfe-ckD_g
